"gap","timeEff","durEff","diamonds","totalBlocks","complete","completeEff"
5,56.1075394506137,0.357370517928287,60,5382,0.402684563758389,0.376560667453783
6,71.2636093698449,0.279729566582156,66,4634,0.442953020134228,0.478279257515738
7,62.261559591027,0.32114678540739,51,4111,0.342281879194631,0.417862816047161
8,67.2687636250389,0.297974767596282,48,3590,0.322147651006711,0.451468212248583
9,49.4109573372984,0.408100929614874,30,3073,0.201342281879195,0.331617163337573
10,72.6520968694625,0.274900398406374,41,2829,0.275167785234899,0.487597965566862
11,71.9397261753666,0.276730914181113,37,2570,0.248322147651007,0.482816954197091
12,52.4224130085247,0.383134130146082,24,2308,0.161073825503356,0.351828275224998
13,51.5021459227468,0.382802124833997,24,2306,0.161073825503356,0.345651986058703
14,41.7149478563152,0.479493789547692,17,2046,0.114093959731544,0.279966092995404
15,17.6014528183279,1.15993170176437,7,2038,0.0469798657718121,0.118130555827704
16,28.4214265977184,0.71195219123506,10,1787,0.0671140939597315,0.190747829514889
17,81.7637153933508,0.247286715208133,29,1800,0.194630872483221,0.54874976774061
18,53.3778148457048,0.383217131474104,16,1539,0.10738255033557,0.358240368091978
19,49.5526496902959,0.408233731739708,15,1537,0.100671140939597,0.332568118726818
20,29.6812019054599,0.677733510402833,9,1531,0.0604026845637584,0.19920269735208
0,16.729761307166,1.22378410884763,106,32560,1,0.157827936860057
1,28.3122738950349,0.722886232846392,90,16330,0.849056603773585,0.267096923538065
2,39.1485975731052,0.521232144592362,82,10728,0.773584905660377,0.369326392199106
3,45.5794996314443,0.44714293510888,73,8193,0.688679245283019,0.429995279541927
4,42.4070678446408,0.481169660978727,53,6401,0.5,0.40006667777963
5,48.6325408913317,0.419889071166315,51,5375,0.481132075471698,0.458797555578601
6,49.8899034537979,0.408233731739708,45,4611,0.424528301886792,0.470659466545264
7,30.1781348236116,0.677622841965472,24,4082,0.226415094339623,0.284699385128411
8,47.3948775233384,0.432331280936859,33,3581,0.311320754716981,0.44712148606923
9,48.3199111357956,0.42258551998901,29,3076,0.273584905660377,0.455848218262223
10,30.6674684305472,0.658307944691821,17,2809,0.160377358490566,0.289315739910823
11,24.3263789171383,0.846281540504648,12,2549,0.113207547169811,0.22949414072772
12,53.4124629080119,0.382470119521912,24,2304,0.226415094339623,0.503891159509546
13,44.904577772234,0.458565737051793,20,2302,0.188679245283019,0.423628092190887
14,27.3282495428039,0.739224918507787,11,2041,0.10377358490566,0.257813674932112
15,20.1539538138558,1.01543824701195,8,2039,0.0754716981132075,0.190131639753357
16,34.2137567813725,0.593293492695883,12,1787,0.113207547169811,0.322771290390307
17,74.6858168761221,0.275666564511186,26,1799,0.245283018867925,0.704583178076623
18,75.3549326538042,0.267278711241989,23,1543,0.216981132075472,0.710895591073624
19,26.8681780016793,0.76195219123506,8,1530,0.0754716981132075,0.253473377374333
20,40.3587443946188,0.50929614873838,12,1534,0.113207547169811,0.380742871647347
0,15.6778537380427,1.28460415762692,101,32566,1,0.155226274634086
1,26.285611204886,0.765455823763768,85,16331,0.841584158415842,0.260253576286
